Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Avg Precision,Train Time (s),TN,FP,FN,TP
Logistic Regression,0.8724340175953079,0.1717171717171717,0.7727272727272727,0.2809917355371901,0.9167011019283746,0.3942819370136768,0.06786751747131348,1156,164,10,34
Decision Tree,0.8900293255131965,0.20224719101123595,0.8181818181818182,0.32432432432432434,0.9059228650137741,0.2839184989419944,0.26549530029296875,1178,142,8,36
Random Forest,0.9318181818181818,0.2905982905982906,0.7727272727272727,0.422360248447205,0.9450241046831956,0.46089256374530946,6.245074033737183,1237,83,10,34
XGBoost,0.9303519061583577,0.2702702702702703,0.6818181818181818,0.3870967741935484,0.9177685950413224,0.4537516646324603,2.0241761207580566,1239,81,14,30
Neural Network,0.9596774193548387,0.3877551020408163,0.4318181818181818,0.40860215053763443,0.8809056473829202,0.33019038219671437,4.278503179550171,1290,30,25,19
