Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,CV F1 (mean),CV F1 (std)
Logistic Regression,0.8724340175953079,0.1717171717171717,0.7727272727272727,0.2809917355371901,0.9167011019283746,0.8909724136356134,0.005150461993677891
Decision Tree,0.8900293255131965,0.2022471910112359,0.8181818181818182,0.3243243243243243,0.905922865013774,0.9266152605030701,0.006496419563539775
Random Forest,0.9318181818181818,0.2905982905982906,0.7727272727272727,0.422360248447205,0.9450241046831956,0.9571851743213081,0.0024449370099517767
XGBoost,0.9303519061583576,0.2702702702702703,0.6818181818181818,0.3870967741935484,0.9177685950413224,0.9696311542709262,0.005378045653296507
Neural Network,0.9596774193548387,0.3877551020408163,0.4318181818181818,0.4086021505376344,0.8809056473829202,0.9806234749753682,0.004539126958720566
